EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2008;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;928813930
2008;12003;000X;41;;;A Organismos Autónomos;852125880
2008;12003;000X;414;;;A la Agencia Española de Cooperación Internacional, para atender los gastos derivados de proyectos de ayuda oficial al desarrollo, incluídos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrollo;826153910
2008;12003;000X;415;;;A la Agencia Española de Cooperación Internacional, para los fines sociales que se realicen en el campo de la cooperación internacional (art.2.del Real Decreto 825/1988, de 15 de julio). Porcentaje IRPF;25971970
2008;12003;000X;43;;;A Agencias Estatales y otros Organismos Públicos;76688050
2008;12003;000X;437;;;Al Instituto Cervantes;76688050
2008;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;96374120
2008;12003;000X;71;;;A Organismos Autónomos;83774120
2008;12003;000X;714;;;A la Agencia Española de Cooperación Internacional, para atender los gastos derivados de proyectos de ayuda oficial al desarrollo, incluídos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrollo;83774120
2008;12003;000X;73;;;A Agencias Estatales y otros Organismos Públicos;12600000
2008;12003;000X;737;;;Al Instituto Cervantes;12600000
2008;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;10896380
2008;13002;000X;41;;;A Organismos Autónomos;10696380
2008;13002;000X;411;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;10696380
2008;13002;000X;43;;;A Agencias Estatales y otros Organismos Públicos;200000
2008;13002;000X;437/13002;;;A la Agencia Española de Protección de Datos;200000
2008;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;97050
2008;13002;000X;71;;;A Organismos Autónomos;97050
2008;13002;000X;711;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;97050
2008;14001;000X;4;;;TRANSFERENCIAS CORRIENTES;218364950
2008;14001;000X;41;;;A Organismos Autónomos;2115540
2008;14001;000X;410/14001;;;A organismos autónomos del Departamento;2115540
2008;14001;000X;410/14001;;01;Al Fondo de Explotación de los Servicios de Cría Caballar y Remonta;2115540
2008;14001;000X;43;;;A Agencias Estatales y otros Organismos Públicos;216249410
2008;14001;000X;437/14001;;;A Organismos Públicos;216249410
2008;14001;000X;437/14001;;01;Al Centro Nacional de Inteligencia;216249410
2008;14001;000X;7;;;TRANSFERENCIAS DE CAPITAL;49122830
2008;14001;000X;71;;;A Organismos Autónomos;2164560
2008;14001;000X;710;;;A organismos autónomos del Departamento;2016430
2008;14001;000X;710;;01;Al Fondo de Explotación de los Servicios de Cría Caballar y Remonta;2016430
2008;14001;000X;712;;;Al Centro Nacional de Información Geográfica (Proyecto SIOSE);148130
2008;14001;000X;73;;;A Agencias Estatales y otros Organismos Públicos;46958270
2008;14001;000X;737/14001;;;A Organismos Públicos;46958270
2008;14001;000X;737/14001;;01;Al Centro Nacional de Inteligencia;46958270
2008;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;43405050
2008;14003;000X;41;;;A Organismos Autónomos;43405050
2008;14003;000X;410/14003;;;A organismos autónomos del Departamento;43405050
2008;14003;000X;410/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;2989530
2008;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;40415520
2008;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;53187480
2008;14003;000X;71;;;A Organismos Autónomos;53187480
2008;14003;000X;710;;;A organismos autónomos del Departamento;53187480
2008;14003;000X;710;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;1495190
2008;14003;000X;710;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";51692290
2008;14206;000X;4;;;TRANSFERENCIAS CORRIENTES;60100
2008;14206;000X;40;;;A la Administración del Estado;60100
2008;14206;000X;400;;;Al Estado, para generar crédito en el Ministerio de Defensa;60100
2008;15001;000X;4;;;TRANSFERENCIAS CORRIENTES;546170
2008;15001;000X;41;;;A Organismos Autónomos;546170
2008;15001;000X;413;;;Al Instituto de Contabilidad y Auditoría de Cuentas;546170
2008;15001;000X;7;;;TRANSFERENCIAS DE CAPITAL;126220
2008;15001;000X;71;;;A Organismos Autónomos;126220
2008;15001;000X;711/15001;;;Al Instituto de Contabilidad y Auditoría de Cuentas;126220
2008;15005;000X;4;;;TRANSFERENCIAS CORRIENTES;1163537270
2008;15005;000X;41;;;A Organismos Autónomos;20823890
2008;15005;000X;410/15005;;;Al Instituto de Estudios Fiscales;20823890
