EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2012;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;274298390
2012;12003;000X;43;;;A agencias estatales y otros organismos públicos;274298390
2012;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;171679110
2012;12003;000X;431/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para los fines sociales que se realicen en el campo de la cooperación internacional (art. 2 del Real Decreto 825/1988, de 15 de julio). Porcentaje IRPF.;26330970
2012;12003;000X;437/12003;;;Al Instituto Cervantes;76288310
2012;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;46267420
2012;12003;000X;73;;;A agencias estatales y otros organismos públicos;46267420
2012;12003;000X;730/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;42170420
2012;12003;000X;737/12003;;;Al Instituto Cervantes;4097000
2012;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;9698030
2012;13002;000X;41;;;A organismos autónomos;9698030
2012;13002;000X;411/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;9698030
2012;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;468120
2012;13002;000X;71;;;A organismos autónomos;468120
2012;13002;000X;711/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;468120
2012;14001;000X;4;;;TRANSFERENCIAS CORRIENTES;11888020
2012;14001;000X;41;;;A organismos autónomos;11888020
2012;14001;000X;410/14001;;;A organismos autónomos del Departamento;11888020
2012;14001;000X;410/14001;;01;A Cría Caballar de las Fuerzas Armadas;11888020
2012;14001;000X;7;;;TRANSFERENCIAS DE CAPITAL;883450
2012;14001;000X;71;;;A organismos autónomos;883450
2012;14001;000X;710/14001;;;A organismos autónomos del Departamento;883450
2012;14001;000X;710/14001;;01;A Cría Caballar de las Fuerzas Armadas;883450
2012;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;20878320
2012;14003;000X;41;;;A organismos autónomos;20878320
2012;14003;000X;410/14003;;;A organismos autónomos del Departamento;20878320
2012;14003;000X;410/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;2708280
2012;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;18170040
2012;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;26610350
2012;14003;000X;71;;;A organismos autónomos;26610350
2012;14003;000X;710/14003;;;A organismos autónomos del Departamento;26610350
2012;14003;000X;710/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;695200
2012;14003;000X;710/14003;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";25915150
2012;15005;000X;4;;;TRANSFERENCIAS CORRIENTES;973398920
2012;15005;000X;41;;;A organismos autónomos;13122710
2012;15005;000X;410/15005;;;Al Instituto de Estudios Fiscales;13122710
2012;15005;000X;43;;;A agencias estatales y otros organismos públicos;960276210
2012;15005;000X;435/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);960276210
2012;15005;000X;435/15005;;00;A la A.E.A.T. para gastos de funcionamiento;889574030
2012;15005;000X;435/15005;;02;A la A.E.A.T. por compensación de gastos de otros servicios;2931450
2012;15005;000X;435/15005;;03;A la A.E.A.T. por premio de cobranza de los recursos propios de la CEE;67770730
2012;15005;000X;7;;;TRANSFERENCIAS DE CAPITAL;27238990
2012;15005;000X;71;;;A organismos autónomos;858990
2012;15005;000X;710/15005;;;Al Instituto de Estudios Fiscales;858990
2012;15005;000X;73;;;A agencias estatales y otros organismos públicos;26380000
2012;15005;000X;735/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);26380000
2012;15005;000X;735/15005;;00;A la A.E.A.T. para gastos de inversiones;26380000
2012;15026;000X;4;;;TRANSFERENCIAS CORRIENTES;16182370
2012;15026;000X;41;;;A organismos autónomos;11990910
2012;15026;000X;418;;;Al Instituto Nacional de Administración Pública (INAP);11990910
2012;15026;000X;43;;;A agencias estatales y otros organismos públicos;4191460
2012;15026;000X;430/15026;;;A la Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios (AEVAL);4191460
2012;15026;000X;7;;;TRANSFERENCIAS DE CAPITAL;501640
2012;15026;000X;71;;;A organismos autónomos;342240
