EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2011;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;846979120
2011;12003;000X;43;;;A agencias estatales y otros organismos públicos;846979120
2011;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;741459840
2011;12003;000X;431;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para los fines sociales que se realicen en el campo de la cooperación internacional (art. 2 del Real Decreto 825/1988, de 15 de julio). Porcentaje IRPF.;26330970
2011;12003;000X;437;;;Al Instituto Cervantes;79188310
2011;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;74057420
2011;12003;000X;73;;;A agencias estatales y otros organismos públicos;74057420
2011;12003;000X;730;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;66590420
2011;12003;000X;737;;;Al Instituto Cervantes;7467000
2011;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;12946270
2011;13002;000X;41;;;A organismos autónomos;12946270
2011;13002;000X;411;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;12946270
2011;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;468120
2011;13002;000X;71;;;A organismos autónomos;468120
2011;13002;000X;711;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;468120
2011;14001;000X;4;;;TRANSFERENCIAS CORRIENTES;223060840
2011;14001;000X;41;;;A organismos autónomos;13238210
2011;14001;000X;410;;;A organismos autónomos del Departamento;13238210
2011;14001;000X;410;;01;A Cría Caballar de las Fuerzas Armadas;13238210
2011;14001;000X;43;;;A agencias estatales y otros organismos públicos;209822630
2011;14001;000X;437/14001;;;A Organismos Públicos;209822630
2011;14001;000X;437/14001;;01;Al Centro Nacional de Inteligencia;209822630
2011;14001;000X;7;;;TRANSFERENCIAS DE CAPITAL;19484200
2011;14001;000X;71;;;A organismos autónomos;1750560
2011;14001;000X;710;;;A organismos autónomos del Departamento;1750560
2011;14001;000X;710;;01;A Cría Caballar de las Fuerzas Armadas;1750560
2011;14001;000X;73;;;A agencias estatales y otros organismos públicos;17733640
2011;14001;000X;737/14001;;;A Organismos Públicos;17733640
2011;14001;000X;737/14001;;01;Al Centro Nacional de Inteligencia;17733640
2011;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;31732830
2011;14003;000X;41;;;A organismos autónomos;31732830
2011;14003;000X;410;;;A organismos autónomos del Departamento;31732830
2011;14003;000X;410;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;2880140
2011;14003;000X;410;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;28852690
2011;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;35921910
2011;14003;000X;71;;;A organismos autónomos;35921910
2011;14003;000X;710;;;A organismos autónomos del Departamento;35921910
2011;14003;000X;710;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;1377590
2011;14003;000X;710;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";34544320
2011;15005;000X;4;;;TRANSFERENCIAS CORRIENTES;1023685510
2011;15005;000X;41;;;A organismos autónomos;17956900
2011;15005;000X;410/15005;;;Al Instituto de Estudios Fiscales;17956900
2011;15005;000X;43;;;A agencias estatales y otros organismos públicos;1005728610
2011;15005;000X;435;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);1005728610
2011;15005;000X;435;;00;A la A.E.A.T. para gastos de funcionamiento;935026430
2011;15005;000X;435;;02;A la A.E.A.T. por compensación de gastos de otros servicios;2931450
2011;15005;000X;435;;03;A la A.E.A.T. por premio de cobranza de los recursos propios de la CEE;67770730
2011;15005;000X;7;;;TRANSFERENCIAS DE CAPITAL;38478990
2011;15005;000X;71;;;A organismos autónomos;858990
2011;15005;000X;710/15005;;;Al Instituto de Estudios Fiscales;858990
2011;15005;000X;73;;;A agencias estatales y otros organismos públicos;37620000
2011;15005;000X;735;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);37620000
2011;15005;000X;735;;00;A la A.E.A.T. para gastos de inversiones;37620000
2011;15016;000X;4;;;TRANSFERENCIAS CORRIENTES;135389840
2011;15016;000X;41;;;A organismos autónomos;124177390
2011;15016;000X;415;;;Al Instituto Nacional de Estadística;124177390
2011;15016;000X;43;;;A agencias estatales y otros organismos públicos;11212450
2011;15016;000X;436;;;A la Comisión Nacional de la Competencia;11212450
2011;15016;000X;7;;;TRANSFERENCIAS DE CAPITAL;78135750
2011;15016;000X;71;;;A organismos autónomos;77445750
2011;15016;000X;714;;;Al Instituto Nacional de Estadística;77445750
2011;15016;000X;73;;;A agencias estatales y otros organismos públicos;690000
2011;15016;000X;736;;;A la Comisión Nacional de la Competencia;690000
2011;16001;000X;4;;;TRANSFERENCIAS CORRIENTES;69390
2011;16001;000X;43;;;A agencias estatales y otros organismos públicos;69390
2011;16001;000X;435/16001;;;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid;68090
2011;16001;000X;439;;;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid. Obligaciones de ejercicios anteriores;1300
2011;16002;000X;4;;;TRANSFERENCIAS CORRIENTES;2039530
2011;16002;000X;41;;;A organismos autónomos;2039530
2011;16002;000X;410/16002;;;A la Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;2039530
2011;16005;000X;4;;;TRANSFERENCIAS CORRIENTES;19273760
2011;16005;000X;41;;;A organismos autónomos;19273760
2011;16005;000X;411/16005;;;A Trabajo Penitenciario y Formación para el Empleo;19273760
2011;16005;000X;7;;;TRANSFERENCIAS DE CAPITAL;1147870
2011;16005;000X;71;;;A organismos autónomos;1147870
2011;16005;000X;710/16005;;;A Trabajo Penitenciario y Formación para el Empleo;1147870
2011;16101;000X;4;;;TRANSFERENCIAS CORRIENTES;101398410
2011;16101;000X;40;;;A la Administración del Estado;101398410
2011;16101;000X;400;;;Al Estado, para generar crédito en el Ministerio del Interior por acuerdo del Ministro de Economía y Hacienda;1270000
2011;16101;000X;401;;;Al Estado;100128410
2011;17001;000X;4;;;TRANSFERENCIAS CORRIENTES;12150
2011;17001;000X;41;;;A organismos autónomos;12150
2011;17001;000X;412;;;Al Parque de Maquinaria para compensar las actividades de desarrollo de la Junta Administradora de vehículos y maquinaria.;12150
2011;17008;000X;4;;;TRANSFERENCIAS CORRIENTES;305000
2011;17008;000X;41;;;A organismos autónomos;305000
2011;17008;000X;410/17008;;;Al Consejo de la Juventud de España;305000
2011;17009;000X;7;;;TRANSFERENCIAS DE CAPITAL;901040
2011;17009;000X;73;;;A agencias estatales y otros organismos públicos;901040
2011;17009;000X;730/17009;;;Al Consejo Superior de Investigaciones Científicas;901040
2011;17009;000X;730/17009;;00;Al Instituto de Ciencias de la Construcción Eduardo Torroja. Estudio base herramientas Codigo Tecnico de la Edificacion.;801040
2011;17009;000X;730/17009;;01;Al Instituto de Ciencias de la Construcción Eduardo Torroja. Aplicacion exigencias C.T.E.;100000
2011;17010;000X;7;;;TRANSFERENCIAS DE CAPITAL;150190
2011;17010;000X;71;;;A organismos autónomos;150190
2011;17010;000X;710/17010;;;Centro Nacional de Información Geográfica (CNIG);58840
2011;17010;000X;711/17010;;;Instituto Nacional de Técnica Aeroespacial (INTA). Plan Nacional de Teledetección.;91350
2011;17018;000X;4;;;TRANSFERENCIAS CORRIENTES;2246930
2011;17018;000X;41;;;A organismos autónomos;2246930
2011;17018;000X;412/17018;;;Al Centro Nacional de Información Geográfica (CNIG);2246930
2011;17018;000X;7;;;TRANSFERENCIAS DE CAPITAL;3191010
2011;17018;000X;71;;;A organismos autónomos;3191010
2011;17018;000X;712;;;Al Centro Nacional de Información Geográfica (CNIG).;3191010
2011;17020;000X;4;;;TRANSFERENCIAS CORRIENTES;15179440
2011;17020;000X;41;;;A organismos autónomos;15179440
2011;17020;000X;410/17020;;;Al Centro de Estudios y Experimentación de Obras Públicas. (C.E.D.E.X);15179440
2011;17020;000X;7;;;TRANSFERENCIAS DE CAPITAL;2694980
2011;17020;000X;71;;;A organismos autónomos;2694980
2011;17020;000X;710/17020;;;Al Centro de Estudios y Experimentación de Obras Públicas. (C.E.D.E.X);2694980
2011;17034;000X;4;;;TRANSFERENCIAS CORRIENTES;27308290
2011;17034;000X;43;;;A agencias estatales y otros organismos públicos;27308290
2011;17034;000X;430/17034;;;A la Agencia Estatal de Seguridad Aérea. ( AESA );27308290
2011;17034;000X;7;;;TRANSFERENCIAS DE CAPITAL;4660420
2011;17034;000X;73;;;A agencias estatales y otros organismos públicos;4660420
2011;17034;000X;730/17034;;;A la Agencia Estatal de Seguridad Aérea. ( AESA );4660420
2011;17039;000X;4;;;TRANSFERENCIAS CORRIENTES;111370
2011;17039;000X;41;;;A organismos autónomos;111370
2011;17039;000X;410/17039;;;A la Jefatura de Tráfico para cursos de formación de la Agrupación de Tráfico de la Guardia Civil.;111370
2011;18006;000X;4;;;TRANSFERENCIAS CORRIENTES;2840490
2011;18006;000X;41;;;A organismos autónomos;2840490
2011;18006;000X;417;;;Al Organismo Autónomo Programas Educativos Europeos;2840490
2011;18006;000X;7;;;TRANSFERENCIAS DE CAPITAL;19410
2011;18006;000X;71;;;A organismos autónomos;19410
2011;18006;000X;717;;;Al Organismo Autónomo Programas Educativos Europeos;19410
2011;18007;000X;4;;;TRANSFERENCIAS CORRIENTES;4023750
2011;18007;000X;41;;;A organismos autónomos;4023750
2011;18007;000X;410/18007;;;A la Universidad Internacional Menéndez Pelayo;3993750
2011;18007;000X;411/18007;;;A la Universidad Internacional Menéndez Pelayo, para definición y desarrollo del Espacio Europeo de la Educación Superior;30000
2011;18007;000X;7;;;TRANSFERENCIAS DE CAPITAL;562260
2011;18007;000X;71;;;A organismos autónomos;562260
2011;18007;000X;710/18007;;;A la Universidad Internacional Menéndez Pelayo;562260
2011;19001;000X;4;;;TRANSFERENCIAS CORRIENTES;8213110
2011;19001;000X;43;;;A agencias estatales y otros organismos públicos;8213110
2011;19001;000X;435/19001;;;Al Consejo Económico y Social para el cumplimiento de sus fines;8213110
2011;19001;000X;7;;;TRANSFERENCIAS DE CAPITAL;384940
2011;19001;000X;73;;;A agencias estatales y otros organismos públicos;384940
2011;19001;000X;735/19001;;;Al Consejo Económico y Social;384940
2011;19002;000X;4;;;TRANSFERENCIAS CORRIENTES;6078383090
2011;19002;000X;42;;;A la Seguridad Social;6078383090
2011;19002;000X;420;;;Prestaciones socio-económicas de carácter no contributivo.;3198341470
2011;19002;000X;420;;00;Financiación de las prestaciones derivadas de la Ley 13/1982.;44305660
2011;19002;000X;420;;02;Aportación del Estado al presupuesto de la Seguridad Social para financiar las prestaciones no contributivas establecidas por la Ley 26/1990 . Pensiones.;2137583440
2011;19002;000X;420;;03;Aportación del Estado al presupuesto de la Seguridad Social para financiar las prestaciones no contributivas establecidas por la Ley 26/1990. Protección familiar.;1004640130
2011;19002;000X;420;;04;Aportación del Estado al presupuesto de la Seguridad Social para financiar las prestaciones de maternidad no contributivas establecidas por la Ley Orgánica 3/2007, de 22 de marzo.;812240
2011;19002;000X;420;;05;Aportación del Estado al presupuesto de la Seguridad Social para financiar las prestaciones no contributivas de pago único por nacimiento o adopción establecidas por la Ley 35/2007, de 15 de noviembre;11000000
