EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2017;07001;000X;4;;;TRANSFERENCIAS CORRIENTES;249750
2017;07001;000X;42;;;A la Seguridad Social;249750
2017;07001;000X;420/07001;;;Aportación del Estado al Presupuesto de la Seguridad Social para dar cumplimiento a lo dispuesto en la disposición adicional tercera del Real Decreto Legislativo 8/2015, de 30 de octubre (Pensiones extraordinarias del personal de las Fuerzas Armadas y Fuerzas y Cuerpos de Seguridad del Estado);249750
2017;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;258647310
2017;12003;000X;43;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;258647310
2017;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;173995330
2017;12003;000X;431/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para actividades de interés general consideradas de interés social reguladas por el artículo 2 del Real Decreto-ley 7/2013, de 28 de junio;24955970
2017;12003;000X;437/12003;;;Al Instituto Cervantes;59696010
2017;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;15582990
2017;12003;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;15582990
2017;12003;000X;730/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;11070250
2017;12003;000X;737/12003;;;Al Instituto Cervantes;4512740
2017;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;7069190
2017;13002;000X;41;;;A Organismos Autónomos;7069190
2017;13002;000X;411/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;7069190
2017;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;512300
2017;13002;000X;71;;;A Organismos Autónomos;512300
2017;13002;000X;711/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;512300
2017;13301;000X;4;;;TRANSFERENCIAS CORRIENTES;267940
2017;13301;000X;40;;;A la Administración del Estado;267940
2017;13301;000X;402;;;Al Estado, para compensar gastos de gestión centralizada;267940
2017;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;68006610
