EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2014;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;207969460
2014;12003;000X;43;;;A agencias estatales y otros organismos públicos;207969460
2014;12003;000X;430;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;134478180
2014;12003;000X;431;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para actividades de interés general consideradas de interés social reguladas por el artículo 2 del Real Decreto Ley 7/2013, de 28 de junio;24955970
2014;12003;000X;437;;;Al Instituto Cervantes;48535310
2014;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;12920250
2014;12003;000X;73;;;A agencias estatales y otros organismos públicos;12920250
2014;12003;000X;730;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;11070250
2014;12003;000X;737;;;Al Instituto Cervantes;1850000
2014;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;6548620
2014;13002;000X;41;;;A organismos autónomos;6548620
2014;13002;000X;411;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;6548620
2014;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;430670
2014;13002;000X;71;;;A organismos autónomos;430670
2014;13002;000X;711;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;430670
2014;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;70629560
2014;14003;000X;41;;;A organismos autónomos;70629560
2014;14003;000X;410;;;A organismos autónomos del Departamento;70629560
2014;14003;000X;410;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;2572460
