EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2010;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;900554080
2010;12003;000X;43;;;A agencias estatales y otros organismos públicos;900554080
2010;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;794655060
2010;12003;000X;431/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para los fines sociales que se realicen en el campo de la cooperación internacional (art. 2 del Real Decreto 825/1988, de 15 de julio). Porcentaje IRPF.;26330970
2010;12003;000X;437/12003;;;Al Instituto Cervantes;79568050
2010;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;75360420
2010;12003;000X;73;;;A agencias estatales y otros organismos públicos;75360420
2010;12003;000X;730/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;66590420
2010;12003;000X;737/12003;;;Al Instituto Cervantes;8770000
2010;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;16326140
2010;13002;000X;41;;;A organismos autónomos;16326140
2010;13002;000X;411/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;16326140
2010;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;494490
2010;13002;000X;71;;;A organismos autónomos;494490
2010;13002;000X;711/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;494490
2010;14001;000X;4;;;TRANSFERENCIAS CORRIENTES;232393490
2010;14001;000X;41;;;A organismos autónomos;14103100
2010;14001;000X;410/14001;;;A organismos autónomos del Departamento;14103100
2010;14001;000X;410/14001;;01;A Cría Caballar de las Fuerzas Armadas;14103100
2010;14001;000X;43;;;A agencias estatales y otros organismos públicos;218290390
2010;14001;000X;437/14001;;;A Organismos Públicos;218290390
2010;14001;000X;437/14001;;01;Al Centro Nacional de Inteligencia;218290390
2010;14001;000X;7;;;TRANSFERENCIAS DE CAPITAL;24417780
2010;14001;000X;71;;;A organismos autónomos;1979620
2010;14001;000X;710/14001;;;A organismos autónomos del Departamento;1916430
2010;14001;000X;710/14001;;01;A Cría Caballar de las Fuerzas Armadas;1916430
2010;14001;000X;712/14001;;;Al Centro Nacional de Información Geográfica (Proyecto SIOSE);63190
2010;14001;000X;73;;;A agencias estatales y otros organismos públicos;22438160
2010;14001;000X;737/14001;;;A Organismos Públicos;22438160
2010;14001;000X;737/14001;;01;Al Centro Nacional de Inteligencia;22438160
2010;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;36480820
2010;14003;000X;41;;;A organismos autónomos;36480820
2010;14003;000X;410/14003;;;A organismos autónomos del Departamento;36480820
2010;14003;000X;410/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;3078110
2010;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;33402710
2010;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;43984030
2010;14003;000X;71;;;A organismos autónomos;43984030
2010;14003;000X;710/14003;;;A organismos autónomos del Departamento;43984030
2010;14003;000X;710/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;1495190
2010;14003;000X;710/14003;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";42488840
2010;15001;000X;4;;;TRANSFERENCIAS CORRIENTES;56000
2010;15001;000X;41;;;A organismos autónomos;56000
2010;15001;000X;413/15001;;;Al Instituto de Contabilidad y Auditoría de Cuentas;56000
2010;15001;000X;7;;;TRANSFERENCIAS DE CAPITAL;11310
2010;15001;000X;71;;;A organismos autónomos;11310
2010;15001;000X;711/15001;;;Al Instituto de Contabilidad y Auditoría de Cuentas;11310
2010;15005;000X;4;;;TRANSFERENCIAS CORRIENTES;1086110000
2010;15005;000X;41;;;A organismos autónomos;19880000
2010;15005;000X;410/15005;;;Al Instituto de Estudios Fiscales;19880000
2010;15005;000X;43;;;A agencias estatales y otros organismos públicos;1066230000
2010;15005;000X;435/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);1066230000
2010;15005;000X;435/15005;;00;A la A.E.A.T. para gastos de funcionamiento;995527820
2010;15005;000X;435/15005;;02;A la A.E.A.T. por compensación de gastos de otros servicios;2931450
2010;15005;000X;435/15005;;03;A la A.E.A.T. por premio de cobranza de los recursos propios de la CEE;67770730
2010;15005;000X;7;;;TRANSFERENCIAS DE CAPITAL;37215070
2010;15005;000X;71;;;A organismos autónomos;1095070
2010;15005;000X;710/15005;;;Al Instituto de Estudios Fiscales;1095070
2010;15005;000X;73;;;A agencias estatales y otros organismos públicos;36120000
2010;15005;000X;735/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);36120000
2010;15005;000X;735/15005;;00;A la A.E.A.T. para gastos de inversiones;36120000
2010;15016;000X;4;;;TRANSFERENCIAS CORRIENTES;140930000
2010;15016;000X;41;;;A organismos autónomos;130610000
2010;15016;000X;415/15016;;;Al Instituto Nacional de Estadística;130610000
2010;15016;000X;43;;;A agencias estatales y otros organismos públicos;10320000
2010;15016;000X;436/15016;;;A la Comisión Nacional de la Competencia;10320000
2010;15016;000X;7;;;TRANSFERENCIAS DE CAPITAL;58303620
2010;15016;000X;71;;;A organismos autónomos;57470000
2010;15016;000X;714/15016;;;Al Instituto Nacional de Estadística;57470000
2010;15016;000X;73;;;A agencias estatales y otros organismos públicos;833620
2010;15016;000X;736/15016;;;A la Comisión Nacional de la Competencia;833620
2010;16001;000X;4;;;TRANSFERENCIAS CORRIENTES;69390
2010;16001;000X;43;;;A agencias estatales y otros organismos públicos;69390
2010;16001;000X;435/16001;;;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid;65790
2010;16001;000X;439;;;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid. Obligaciones de ejercicios anteriores;3600
2010;16002;000X;4;;;TRANSFERENCIAS CORRIENTES;2170760
2010;16002;000X;41;;;A organismos autónomos;2170760
2010;16002;000X;410/16002;;;A la Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;2170760
2010;16005;000X;4;;;TRANSFERENCIAS CORRIENTES;20847750
2010;16005;000X;41;;;A organismos autónomos;20847750
2010;16005;000X;411/16005;;;A Trabajo Penitenciario y Formación para el Empleo;20847750
