EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2016;07001;000X;4;;;TRANSFERENCIAS CORRIENTES;249750
2016;07001;000X;42;;;A la Seguridad Social;249750
2016;07001;000X;420/07001;;;Aportación del Estado al Presupuesto de la Seguridad Social para dar cumplimiento a lo dispuesto en el artículo 20 del Real Decreto-Ley 13/2010, de 3 de diciembre (Pensiones extraordinarias del personal de las Fuerzas Armadas y Fuerzas y Cuerpos de Seguridad del Estado);249750
2016;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;265376750
2016;12003;000X;43;;;A agencias estatales y otros organismos públicos;265376750
2016;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;178223780
2016;12003;000X;431/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para actividades de interés general consideradas de interés social reguladas por el artículo 2 del Real Decreto Ley 7/2013, de 28 de junio;24955970
2016;12003;000X;437/12003;;;Al Instituto Cervantes;62197000
2016;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;14083250
2016;12003;000X;73;;;A agencias estatales y otros organismos públicos;14083250
2016;12003;000X;730/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamnetales, con destino a países en vías desarrollo.;11070250
2016;12003;000X;737/12003;;;Al Instituto Cervantes;3013000
2016;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;8569190
2016;13002;000X;41;;;A organismos autónomos;8569190
2016;13002;000X;411/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;8569190
2016;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;512300
2016;13002;000X;71;;;A organismos autónomos;512300
2016;13002;000X;711/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;512300
2016;13301;000X;4;;;TRANSFERENCIAS CORRIENTES;267940
2016;13301;000X;40;;;A la Administración del Estado;267940
2016;13301;000X;402/13301;;;Al  Estado, para compensar gastos de gestión centralizada;267940
2016;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;90757590
2016;14003;000X;41;;;A organismos autónomos;90757590
2016;14003;000X;410/14003;;;A organismos autónomos del Departamento;90757590
2016;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;47357590
2016;14003;000X;410/14003;;04;Al Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa;43400000
2016;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;24846680
2016;14003;000X;71;;;A organismos autónomos;24846680
2016;14003;000X;710/14003;;;A organismos autónomos del Departamento;24846680
2016;14003;000X;710/14003;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";20030270
2016;14003;000X;710/14003;;04;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas"" para  financiar el proyecto Galileo";4816410
2016;14107;000X;4;;;TRANSFERENCIAS CORRIENTES;16360
2016;14107;000X;40;;;A la Administración del Estado;16360
2016;14107;000X;400/14107;;;Al Estado, para compensar gastos de gestión centralizada;16360
2016;15005;000X;4;;;TRANSFERENCIAS CORRIENTES;923754630
2016;15005;000X;41;;;A organismos autónomos;10539370
2016;15005;000X;410/15005;;;Al Instituto de Estudios Fiscales;10539370
2016;15005;000X;43;;;A agencias estatales y otros organismos públicos;913215260
2016;15005;000X;435/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);913215260
2016;15005;000X;435/15005;;00;A la A.E.A.T. para gastos de funcionamiento;842513080
2016;15005;000X;435/15005;;02;A la A.E.A.T. por compensación de gastos de otros servicios;2931450
2016;15005;000X;435/15005;;03;A la A.E.A.T. por premio de cobranza de los recursos propios de la Unión Europea;67770730
2016;15005;000X;7;;;TRANSFERENCIAS DE CAPITAL;32797400
2016;15005;000X;71;;;A organismos autónomos;834080
2016;15005;000X;710/15005;;;Al Instituto de Estudios Fiscales;834080
2016;15005;000X;73;;;A agencias estatales y otros organismos públicos;31963320
2016;15005;000X;735/15005;;;A la Agencia Estatal de Administración Tributaria (A.E.A.T.);31963320
2016;15005;000X;735/15005;;00;A la A.E.A.T. para gastos de inversiones;31963320
2016;15026;000X;4;;;TRANSFERENCIAS CORRIENTES;19022250
2016;15026;000X;41;;;A organismos autónomos;13397650
2016;15026;000X;418/15026;;;Al Instituto Nacional de Administración Pública (INAP);13397650
2016;15026;000X;43;;;A agencias estatales y otros organismos públicos;5624600
2016;15026;000X;430/15026;;;A la Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios (AEVAL);3243060
2016;15026;000X;437/15026;;;Al Consejo de Transparencia y Buen Gobierno;2381540
2016;15026;000X;7;;;TRANSFERENCIAS DE CAPITAL;1383970
2016;15026;000X;71;;;A organismos autónomos;641260
2016;15026;000X;718/15026;;;Al Instituto Nacional de Administración Pública (INAP);641260
2016;15026;000X;73;;;A agencias estatales y otros organismos públicos;742710
2016;15026;000X;730/15026;;;A la Agencia Estatal de Evaluación de las Políticas Públicas y la Calidad de los Servicios (AEVAL);152710
2016;15026;000X;737/15026;;;Al Consejo de Transparencia y Buen Gobierno;590000
2016;15104;000X;4;;;TRANSFERENCIAS CORRIENTES;20612800
2016;15104;000X;40;;;A la Administración del Estado;20612800
2016;15104;000X;400/15104;;;A la Administración del Estado;20402060
2016;15104;000X;401/15104;;;Al Estado, para compensar gastos de gestión centralizada;210740
2016;16001;000X;4;;;TRANSFERENCIAS CORRIENTES;107600
2016;16001;000X;43;;;A agencias estatales y otros organismos públicos;107600
2016;16001;000X;435/16001;;;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid;107600
2016;16002;000X;4;;;TRANSFERENCIAS CORRIENTES;1891190
2016;16002;000X;41;;;A organismos autónomos;1891190
2016;16002;000X;410/16002;;;A la Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;1891190
2016;16101;000X;4;;;TRANSFERENCIAS CORRIENTES;138745600
2016;16101;000X;40;;;A la Administración del Estado;138745600
2016;16101;000X;400/16101;;;Al Estado, para generar crédito en el Ministerio del Interior, según la DIsposición adicional segunda de la Ley Orgánica 6/2011;1270000
2016;16101;000X;401/16101;;;Al Estado;134521370
2016;16101;000X;402/16101;;;Al Estado, para compensar gastos de gestión centralizada;2954230
2016;17009;000X;4;;;TRANSFERENCIAS CORRIENTES;55000
2016;17009;000X;41;;;A organismos autónomos;55000
2016;17009;000X;410/17009;;;CIS Estudio Barómetro de la Vivienda;55000
2016;17009;000X;7;;;TRANSFERENCIAS DE CAPITAL;900000
2016;17009;000X;73;;;A agencias estatales y otros organismos públicos;900000
2016;17009;000X;730/17009;;;Consejo Superior de Investigaciones Científicas;900000
2016;17009;000X;730/17009;;00;CSIC para el estudio base herramientas Código Técnico de la Edificación (Instituto de Ciencias de la Construcción Eduardo Torroja);900000
2016;17018;000X;4;;;TRANSFERENCIAS CORRIENTES;1993910
2016;17018;000X;41;;;A organismos autónomos;1993910
2016;17018;000X;412/17018;;;Centro Nacional de Información Geográfica (CNIG);1993910
2016;17018;000X;7;;;TRANSFERENCIAS DE CAPITAL;2520000
2016;17018;000X;71;;;A organismos autónomos;2520000
2016;17018;000X;712/17018;;;Centro Nacional de Información Geográfica (CNIG);2520000
2016;17020;000X;4;;;TRANSFERENCIAS CORRIENTES;22192720
2016;17020;000X;41;;;A organismos autónomos;13968200
2016;17020;000X;410/17020;;;Centro de Estudios y Experimentación de Obras Públicas (CEDEX);13968200
2016;17020;000X;43;;;A agencias estatales y otros organismos públicos;8224520
2016;17020;000X;431/17020;;;Agencia Estatal de Seguridad Ferroviaria;8224520
2016;17020;000X;7;;;TRANSFERENCIAS DE CAPITAL;9070000
2016;17020;000X;71;;;A organismos autónomos;990000
