EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2023;07001;000X;4;;;TRANSFERENCIAS CORRIENTES;249750
2023;07001;000X;42;;;A la Seguridad Social;249750
2023;07001;000X;420/07001;;;Aportación del Estado al Presupuesto de la Seguridad Social para dar cumplimiento a lo dispuesto en la disposición adicional tercera del Real Decreto Legislativo 8/2015, de 30 de octubre (Pensiones extraordinarias del personal de las Fuerzas Armadas y Fuerzas y Cuerpos de Seguridad del Estado);249750
2023;09001;000X;4;;;TRANSFERENCIAS CORRIENTES;98330950
2023;09001;000X;41;;;A Organismos Autónomos;98330950
2023;09001;000X;411/09001;;;"Aportación del Estado  a la Mutualidad General  de Funcionarios Civiles del Estado,  al Instituto Social de las Fuerzas Armadas y a la Mutualidad General Judicial, al amparo de las siguientes Disposiciones: artículo 30.3 del Real Decreto Legislativo 1/2000,  de 9 de junio;  artículo 24 y Disposición Adicional 3ª.3 del Real Decreto Legislativo 3/2000, de 23 de junio y  artículo 35.3 del Real Decreto Legislativo  4/2000, de 23 de junio, incluidas obligaciones de ejercicios anteriores";98330950
2023;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;563559070
2023;12003;000X;43;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;563559070
2023;12003;000X;430/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrrollo.;482002080
2023;12003;000X;431/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para actividades de interés general consideradas de interés social reguladas por el artículo 2 del Real Decreto-ley 7/2013, de 28 de junio;74955970
2023;12003;000X;432/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para actividades de interés general consideradas de interés social procedentes del Impuesto sobre Sociedades;6601020
2023;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;11070250
2023;12003;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;11070250
2023;12003;000X;730/12003;;;A la Agencia Española de Cooperación Internacional para el Desarrollo, para atender los gastos derivados de proyectos de Ayuda Oficial al Desarrollo, incluidos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías desarrollo.;11070250
2023;12005;000X;4;;;TRANSFERENCIAS CORRIENTES;74058250
2023;12005;000X;43;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;74058250
2023;12005;000X;437/12005;;;Al Instituto Cervantes;74058250
2023;12005;000X;7;;;TRANSFERENCIAS DE CAPITAL;6847970
2023;12005;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;6847970
2023;12005;000X;737/12005;;;Al Instituto Cervantes;6847970
2023;12050;000X;7;;;TRANSFERENCIAS DE CAPITAL;26285000
2023;12050;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;26285000
2023;12050;000X;730/12050;;;A la Agencia Española de Cooperación Internacional para el Desarrollo. Mecanismo de Recuperación y Resiliencia;2010000
2023;12050;000X;737/12050;;;Al Instituto Cervantes. Mecanismo de Recuperación y Resiliencia;24275000
2023;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;14714740
2023;13002;000X;41;;;A Organismos Autónomos;14714740
2023;13002;000X;411/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;14714740
2023;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;777000
2023;13002;000X;71;;;A Organismos Autónomos;777000
2023;13002;000X;711/13002;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;777000
2023;13050;000X;7;;;TRANSFERENCIAS DE CAPITAL;1350200
2023;13050;000X;71;;;A Organismos Autónomos;1350200
2023;13050;000X;711/13050;;;Al Centro de Estudios Jurídicos de la Administración de Justicia. Mecanismo de Recuperación y Resiliencia;1350200
2023;13301;000X;4;;;TRANSFERENCIAS CORRIENTES;329990
2023;13301;000X;40;;;A la Administración del Estado;329990
2023;13301;000X;402;;;Al Estado, para compensar gastos de gestión centralizada;329990
2023;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;312179350
2023;14003;000X;41;;;A Organismos Autónomos;39427750
2023;14003;000X;410/14003;;;A organismos autónomos del Departamento;39427750
2023;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;37427750
2023;14003;000X;410/14003;;05;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas. Proyecto Galileo-GSMC;2000000
2023;14003;000X;43;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;272751600
2023;14003;000X;435/14003;;;A AESA para compensar los costes de los vuelos exonerados;250
2023;14003;000X;436/14003;;;A AEMET para compensar los costes de los vuelos exonerados;250
2023;14003;000X;437/14003;;;Al Centro Nacional de Inteligencia;272751100
2023;14003;000X;7;;;TRANSFERENCIAS DE CAPITAL;78565220
2023;14003;000X;71;;;A Organismos Autónomos;24346680
2023;14003;000X;710/14003;;;A organismos autónomos del Departamento;24346680
2023;14003;000X;710/14003;;03;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas""";19530270
2023;14003;000X;710/14003;;04;"Al Instituto Nacional de Técnica Aeroespacial ""Esteban Terradas"" para  financiar el proyecto Galileo";4816410
2023;14003;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54218540
2023;14003;000X;737/14003;;;Al Centro Nacional de Inteligencia;54218540
2023;14050;000X;7;;;TRANSFERENCIAS DE CAPITAL;2947560
2023;14050;000X;73;;;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;2947560
2023;14050;000X;737/14050;;;Al Centro Nacional de Inteligencia;2947560
2023;14101;000X;4;;;TRANSFERENCIAS CORRIENTES;1000
2023;14101;000X;40;;;A la Administración del Estado;1000
