EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2007;12003;000X;4;;;TRANSFERENCIAS CORRIENTES;747403590
2007;12003;000X;41;;;A Organismos Autónomos;681497640
2007;12003;000X;414;;;A la Agencia Española de Cooperación Internacional, para atender los gastos derivados de proyectos de ayuda oficial al desarrollo, incluídos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrollo;656282140
2007;12003;000X;415;;;A la Agencia Española de Cooperación Internacional, para los fines sociales que se realicen en el campo de la cooperación internacional (art.2.del Real Decreto 825/1988, de 15 de julio). Porcentaje IRPF;25215500
2007;12003;000X;43;;;A Agencias Estatales y otros Organismos Públicos;65905950
2007;12003;000X;437;;;Al Instituto Cervantes;65905950
2007;12003;000X;7;;;TRANSFERENCIAS DE CAPITAL;88219090
2007;12003;000X;71;;;A Organismos Autónomos;73319090
2007;12003;000X;714;;;A la Agencia Española de Cooperación Internacional, para atender los gastos derivados de proyectos de ayuda oficial al desarrollo, incluídos los propuestos o a ejecutar por Organizaciones No Gubernamentales, con destino a países en vías de desarrollo;73319090
2007;12003;000X;73;;;A Agencias Estatales y otros Organismos Públicos;14900000
2007;12003;000X;737;;;Al Instituto Cervantes;14900000
2007;13002;000X;4;;;TRANSFERENCIAS CORRIENTES;8896380
2007;13002;000X;41;;;A Organismos Autónomos;8696380
2007;13002;000X;411;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;8696380
2007;13002;000X;43;;;A Agencias Estatales y otros Organismos Públicos;200000
2007;13002;000X;437/13002;;;A la Agencia Española de Protección de Datos;200000
2007;13002;000X;7;;;TRANSFERENCIAS DE CAPITAL;97050
2007;13002;000X;71;;;A Organismos Autónomos;97050
2007;13002;000X;711;;;Al Centro de Estudios Jurídicos de la Administración de Justicia;97050
2007;14001;000X;4;;;TRANSFERENCIAS CORRIENTES;198976430
2007;14001;000X;41;;;A Organismos Autónomos;2053920
2007;14001;000X;410/14001;;;A organismos autónomos del Departamento;2053920
2007;14001;000X;410/14001;;01;Al Fondo de Explotación de los Servicios de Cría Caballar y Remonta;2053920
2007;14001;000X;43;;;A Agencias Estatales y otros Organismos Públicos;196922510
2007;14001;000X;437/14001;;;A Organismos Públicos;196922510
2007;14001;000X;437/14001;;01;Al Centro Nacional de Inteligencia;196922510
2007;14001;000X;7;;;TRANSFERENCIAS DE CAPITAL;45585710
2007;14001;000X;71;;;A Organismos Autónomos;2105830
2007;14001;000X;710;;;A organismos autónomos del Departamento;1957700
2007;14001;000X;710;;01;Al Fondo de Explotación de los Servicios de Cría Caballar y Remonta;1957700
2007;14001;000X;712;;;Al Centro Nacional de Información Geográfica (Proyecto SIOSE);148130
2007;14001;000X;73;;;A Agencias Estatales y otros Organismos Públicos;43479880
2007;14001;000X;737/14001;;;A Organismos Públicos;43479880
2007;14001;000X;737/14001;;01;Al Centro Nacional de Inteligencia;43479880
2007;14003;000X;4;;;TRANSFERENCIAS CORRIENTES;42140830
2007;14003;000X;41;;;A Organismos Autónomos;42140830
2007;14003;000X;410/14003;;;A organismos autónomos del Departamento;42140830
2007;14003;000X;410/14003;;02;Al Canal de Experiencias Hidrodinámicas de El Pardo;2902460
2007;14003;000X;410/14003;;03;Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;39238370
